CL:0000188	CL:0002371 ! somatic cell
CL:0000189	CL:0008002 ! skeletal muscle fiber
CL:0000190	CL:0008002 ! skeletal muscle fiber
CL:0000192	CL:0008000 ! non-striated muscle cell
CL:0000192	CL:0008007 ! visceral muscle cell
CL:0000193	CL:0000746 ! cardiac muscle cell
CL:0000196	CL:0008003 ! somatic muscle myotube
CL:0000197	CL:0000003 ! native cell
CL:0000198	CL:0000006 ! neuronal receptor cell
CL:0000199	CL:0000101 ! sensory neuron
CL:0000200	CL:0000199 ! mechanoreceptor cell
CL:0000202	CL:0000006 ! neuronal receptor cell
CL:0000202	CL:0000710 ! neurecto-epithelial cell
CL:0000202	CL:0002374 ! ear hair cell
CL:0000202	CL:0002491 ! auditory epithelial cell
CL:0000203	CL:0000006 ! neuronal receptor cell
CL:0000203	CL:0000199 ! mechanoreceptor cell
CL:0000204	CL:0000006 ! neuronal receptor cell
CL:0000205	CL:0000006 ! neuronal receptor cell
CL:0000206	CL:0000101 ! sensory neuron
CL:0000207	CL:0000206 ! chemoreceptor cell
CL:0000208	CL:0000206 ! chemoreceptor cell
CL:0000209	CL:0000006 ! neuronal receptor cell
CL:0000209	CL:0000098 ! sensory epithelial cell
CL:0000209	CL:0000206 ! chemoreceptor cell
CL:0000209	CL:0000362 ! epidermal cell
CL:0000209	CL:0000710 ! neurecto-epithelial cell
CL:0000209	CL:0002076 ! endo-epithelial cell
CL:0000210	CL:0000006 ! neuronal receptor cell
CL:0000211	CL:0000003 ! native cell
CL:0000212	CL:0000003 ! native cell
CL:0000213	CL:0000215 ! barrier cell
CL:0000214	CL:0000153 ! glycosaminoglycan secreting cell
CL:0000214	CL:0000213 ! lining cell
CL:0000214	CL:0002078 ! meso-epithelial cell
CL:0000215	CL:0000003 ! native cell
CL:0000216	CL:0000511 ! androgen binding protein secreting cell
CL:0000216	CL:0000630 ! supportive cell
CL:0000216	CL:0002625 ! seminiferous tubule epithelial cell
CL:0000217	CL:0000215 ! barrier cell
CL:0000218	CL:0000217 ! insulating cell
CL:0000218	CL:0000328 ! myelin accumulating cell
CL:0000218	CL:0002573 ! Schwann cell
CL:0000219	CL:0000003 ! native cell
CL:0000221	CL:0002321 ! embryonic cell
CL:0000222	CL:0002321 ! embryonic cell
CL:0000223	CL:0002321 ! embryonic cell
CL:0000225	CL:0000003 ! native cell
CL:0000226	CL:0002242 ! nucleate cell
CL:0000227	CL:0000228 ! multinucleate cell
CL:0000228	CL:0002242 ! nucleate cell
CL:0000232	CL:0000081 ! blood cell
CL:0000232	CL:0000329 ! oxygen accumulating cell
CL:0000232	CL:0000764 ! erythroid lineage cell
CL:0000233	CL:0000081 ! blood cell
CL:0000233	CL:0000225 ! anucleate cell
CL:0000233	CL:0000458 ! serotonin secreting cell
CL:0000233	CL:0000763 ! myeloid cell
CL:0000234	CL:0000219 ! motile cell
CL:0000234	CL:0000325 ! stuff accumulating cell
CL:0000234	CL:0000473 ! defensive cell
CL:0000235	CL:0000234 ! phagocyte
CL:0000235	CL:0000766 ! myeloid leukocyte
CL:0000236	CL:0000945 ! lymphocyte of B lineage
CL:0000237	CL:0000240 ! stratified squamous epithelial cell
CL:0000237	CL:0000311 ! keratin accumulating cell
CL:0000237	CL:0002077 ! ecto-epithelial cell
CL:0000238	CL:0000240 ! stratified squamous epithelial cell
CL:0000239	CL:0000075 ! columnar/cuboidal epithelial cell
CL:0000240	CL:0000076 ! squamous epithelial cell
CL:0000240	CL:0000079 ! stratified epithelial cell
CL:0000241	CL:0000079 ! stratified epithelial cell
CL:0000242	CL:0000123 ! neuron associated cell (sensu Vertebrata)
CL:0000242	CL:0000312 ! keratinocyte
CL:0000242	CL:0000710 ! neurecto-epithelial cell
CL:0000243	CL:0000125 ! glial cell
CL:0000244	CL:0000066 ! epithelial cell
CL:0000244	CL:0002371 ! somatic cell
CL:0000246	CL:0000099 ! interneuron
CL:0000247	CL:0000531 ! primary sensory neuron
CL:0000249	CL:0000151 ! secretory cell
CL:0000251	CL:0000101 ! sensory neuron
CL:0000253	CL:0000527 ! efferent neuron
CL:0000255	CL:0000003 ! native cell
CL:0000256	CL:0000325 ! stuff accumulating cell
CL:0000257	CL:0000255 ! eukaryotic cell
CL:0000259	CL:0000263 ! vegetative cell (sensu Mycetozoa)
CL:0000261	CL:0000263 ! vegetative cell (sensu Mycetozoa)
CL:0000263	CL:0000257 ! Mycetozoan cell
CL:0000265	CL:0000263 ! vegetative cell (sensu Mycetozoa)
CL:0000267	CL:0000263 ! vegetative cell (sensu Mycetozoa)
CL:0000269	CL:0000263 ! vegetative cell (sensu Mycetozoa)
CL:0000271	CL:0000269 ! prestalk cell
CL:0000273	CL:0000269 ! prestalk cell
CL:0000275	CL:0000269 ! prestalk cell
CL:0000279	CL:0000269 ! prestalk cell
CL:0000281	CL:0000265 ! anterior like cell
CL:0000283	CL:0000265 ! anterior like cell
CL:0000285	CL:0000263 ! vegetative cell (sensu Mycetozoa)
CL:0000286	CL:0000521 ! fungal cell
CL:0000287	CL:0000210 ! photoreceptor cell
CL:0000289	CL:0000263 ! vegetative cell (sensu Mycetozoa)
CL:0000289	CL:0000732 ! amoeboid cell
CL:0000291	CL:0000263 ! vegetative cell (sensu Mycetozoa)
CL:0000293	CL:0000003 ! native cell
CL:0000295	CL:0000167 ! peptide hormone secreting cell
CL:0000300	CL:0000413 ! haploid cell
CL:0000300	CL:0000586 ! germ cell
CL:0000301	CL:0000670 ! primordial germ cell
CL:0000306	CL:0000325 ! stuff accumulating cell
CL:0000307	CL:0002202 ! epithelial cell of tracheobronchial tree
CL:0000308	CL:0000325 ! stuff accumulating cell
CL:0000309	CL:0000308 ! metal ion accumulating cell
CL:0000310	CL:0000308 ! metal ion accumulating cell
CL:0000311	CL:0000325 ! stuff accumulating cell
CL:0000312	CL:0000237 ! keratinizing barrier epithelial cell
CL:0000312	CL:0000362 ! epidermal cell
CL:0000313	CL:0000159 ! seromucus secreting cell
CL:0000314	CL:0000151 ! secretory cell
CL:0000315	CL:0000151 ! secretory cell
CL:0000317	CL:0000152 ! exocrine cell
CL:0000317	CL:2000021 ! sebaceous gland native cell
CL:0000318	CL:0000150 ! glandular epithelial cell
CL:0000319	CL:0000159 ! seromucus secreting cell
CL:0000321	CL:0000151 ! secretory cell
CL:0000322	CL:0010003 ! epithelial cell of alveolus of lung
CL:0000323	CL:0000154 ! protein secreting cell
CL:0000324	CL:0000134 ! mesenchymal stem cell
CL:0000325	CL:0000003 ! native cell
CL:0000326	CL:0000325 ! stuff accumulating cell
CL:0000327	CL:0000151 ! secretory cell
CL:0000327	CL:0000499 ! stromal cell
CL:0000328	CL:0000325 ! stuff accumulating cell
CL:0000329	CL:0000003 ! native cell
CL:0000333	CL:0000219 ! motile cell
CL:0000333	CL:0011012 ! neural crest cell
CL:0000334	CL:0000521 ! fungal cell
CL:0000335	CL:0008019 ! mesenchymal cell
CL:0000336	CL:0000457 ! biogenic amine secreting cell
CL:0000336	CL:1000426 ! chromaffin cell of adrenal gland
CL:0000337	CL:0000031 ! neuroblast
CL:0000338	CL:0000031 ! neuroblast
CL:0000339	CL:0000030 ! glioblast
CL:0000339	CL:0000123 ! neuron associated cell (sensu Vertebrata)
CL:0000340	CL:0000030 ! glioblast
CL:0000340	CL:0000130 ! neuron associated cell (sensu Nematoda and Protostomia)
CL:0000341	CL:0000147 ! pigment cell
CL:0000342	CL:0000147 ! pigment cell
CL:0000343	CL:0000149 ! visual pigment cell
CL:0000343	CL:0000342 ! pigment cell (sensu Vertebrata)
CL:0000345	CL:0008019 ! mesenchymal cell
CL:0000346	CL:0000134 ! mesenchymal stem cell
CL:0000347	CL:0000293 ! structural cell
CL:0000348	CL:0000293 ! structural cell
CL:0000349	CL:0000548 ! animal cell
CL:0000349	CL:0002371 ! somatic cell
CL:0000350	CL:0000066 ! epithelial cell
CL:0000350	CL:0000349 ! extraembryonic cell
CL:0000351	CL:0000349 ! extraembryonic cell
CL:0000352	CL:0000052 ! totipotent stem cell
CL:0000353	CL:0000007 ! early embryonic cell
CL:0000354	CL:0000048 ! multi fate stem cell
CL:0000355	CL:0000048 ! multi fate stem cell
CL:0000355	CL:0000188 ! cell of skeletal muscle
CL:0000356	CL:0000035 ! single fate stem cell
CL:0000357	CL:0000036 ! epithelial fate stem cell
CL:0000358	CL:0000192 ! smooth muscle cell
CL:0000359	CL:0000192 ! smooth muscle cell
CL:0000360	CL:0000007 ! early embryonic cell
CL:0000361	CL:0000007 ! early embryonic cell
CL:0000362	CL:0002159 ! general ecto-epithelial cell
CL:0000365	CL:0000007 ! early embryonic cell
CL:0000367	CL:0000619 ! support cell (sensu Nematoda)
CL:0000371	CL:0000578 ! experimentally modified cell in vitro
CL:0000372	CL:0000463 ! epidermal cell (sensu arthropoda)
CL:0000373	CL:0000146 ! simple columnar epithelial cell
CL:0000374	CL:0000463 ! epidermal cell (sensu arthropoda)
CL:0000376	CL:0000006 ! neuronal receptor cell
CL:0000377	CL:0000069 ! branched duct epithelial cell
CL:0000378	CL:0000630 ! supportive cell
CL:0000379	CL:0000540 ! neuron
CL:0000380	CL:0000378 ! support cell (sensu Nematoda and Protostomia)
CL:0000381	CL:0000151 ! secretory cell
CL:0000381	CL:0000527 ! efferent neuron
CL:0000382	CL:0000378 ! support cell (sensu Nematoda and Protostomia)
CL:0000383	CL:0000134 ! mesenchymal stem cell
CL:0000384	CL:0000630 ! supportive cell
CL:0000385	CL:0000390 ! blood cell (sensu Nematoda and Protostomia)
CL:0000386	CL:0000630 ! supportive cell
CL:0000387	CL:0000519 ! phagocyte (sensu Nematoda and Protostomia)
CL:0000388	CL:0000135 ! fibrocyte
CL:0000388	CL:0000386 ! attachment cell
CL:0000389	CL:0000619 ! support cell (sensu Nematoda)
CL:0000389	CL:0000658 ! cuticle secreting cell
CL:0000389	CL:0000710 ! neurecto-epithelial cell
CL:0000390	CL:0000081 ! blood cell
CL:0000391	CL:0000387 ! hemocyte (sensu Nematoda and Protostomia)
CL:0000392	CL:0000391 ! podocyte (sensu Diptera)
CL:0000393	CL:0000211 ! electrically active cell
CL:0000394	CL:0000387 ! hemocyte (sensu Nematoda and Protostomia)
CL:0000395	CL:0000387 ! hemocyte (sensu Nematoda and Protostomia)
CL:0000396	CL:0000394 ! plasmatocyte
CL:0000397	CL:0000099 ! interneuron
CL:0000398	CL:0000387 ! hemocyte (sensu Nematoda and Protostomia)
CL:0000401	CL:0000394 ! plasmatocyte
CL:0000402	CL:0000099 ! interneuron
CL:0000402	CL:0000117 ! CNS neuron (sensu Vertebrata)
CL:0000404	CL:0000211 ! electrically active cell
CL:0000405	CL:0000338 ! neuroblast (sensu Nematoda and Protostomia)
CL:0000406	CL:0000402 ! CNS interneuron
CL:0000407	CL:0000384 ! ligament cell
CL:0000408	CL:0000015 ! male germ cell
CL:0000408	CL:0000300 ! gamete
CL:0000409	CL:0000618 ! sheath cell
CL:0000410	CL:0000402 ! CNS interneuron
CL:0000411	CL:0000076 ! squamous epithelial cell
CL:0000411	CL:0000228 ! multinucleate cell
CL:0000411	CL:0002371 ! somatic cell
CL:0000412	CL:0000003 ! native cell
CL:0000413	CL:0000003 ! native cell
CL:0000415	CL:0000003 ! native cell
CL:0000416	CL:0000412 ! polyploid cell
CL:0000417	CL:0000412 ! polyploid cell
CL:0000418	CL:0000066 ! epithelial cell
CL:0000418	CL:0002371 ! somatic cell
CL:0000419	CL:0000036 ! epithelial fate stem cell
CL:0000420	CL:0000066 ! epithelial cell
CL:0000420	CL:0000228 ! multinucleate cell
CL:0000420	CL:0002371 ! somatic cell
CL:0000421	CL:0000080 ! circulating cell
CL:0000421	CL:0000519 ! phagocyte (sensu Nematoda and Protostomia)
CL:0000422	CL:0000003 ! native cell
CL:0000423	CL:0000422 ! mitogenic signaling cell
CL:0000424	CL:0000151 ! secretory cell
CL:0000425	CL:0000658 ! cuticle secreting cell
CL:0000426	CL:0000445 ! apoptosis fated cell
CL:0000427	CL:0002320 ! connective tissue cell
CL:0000428	CL:0000325 ! stuff accumulating cell
CL:0000428	CL:0000349 ! extraembryonic cell
CL:0000429	CL:0000146 ! simple columnar epithelial cell
CL:0000430	CL:0000147 ! pigment cell
CL:0000431	CL:0000147 ! pigment cell
CL:0000432	CL:0000057 ! fibroblast
CL:0000434	CL:0000150 ! glandular epithelial cell
CL:0000435	CL:0000151 ! secretory cell
CL:0000436	CL:0000151 ! secretory cell
CL:0000437	CL:0000438 ! luteinizing hormone secreting cell
CL:0000437	CL:0000639 ! basophil cell of pars distalis of adenohypophysis
CL:0000438	CL:0000163 ! endocrine cell
CL:0000439	CL:0000154 ! protein secreting cell
CL:0000439	CL:0000167 ! peptide hormone secreting cell
CL:0000440	CL:0000167 ! peptide hormone secreting cell
CL:0000441	CL:0000036 ! epithelial fate stem cell
CL:0000442	CL:0000473 ! defensive cell
CL:0000443	CL:0000167 ! peptide hormone secreting cell
CL:0000444	CL:0000737 ! striated muscle cell
CL:0000445	CL:0000003 ! native cell
CL:0000446	CL:0000167 ! peptide hormone secreting cell
CL:0000446	CL:0002260 ! epithelial cell of parathyroid gland
CL:0000447	CL:0000151 ! secretory cell
CL:0000448	CL:0000136 ! fat cell
CL:0000449	CL:0000136 ! fat cell
CL:0000451	CL:0000738 ! leukocyte
CL:0000452	CL:0000163 ! endocrine cell
CL:0000453	CL:0000766 ! myeloid leukocyte
CL:0000453	CL:0000990 ! conventional dendritic cell
CL:0000454	CL:0000457 ! biogenic amine secreting cell
CL:0000456	CL:0000174 ! steroid hormone secreting cell
CL:0000457	CL:0000151 ! secretory cell
CL:0000458	CL:0000457 ! biogenic amine secreting cell
CL:0000459	CL:0000457 ! biogenic amine secreting cell
CL:0000460	CL:0000174 ! steroid hormone secreting cell
CL:0000462	CL:0000680 ! muscle precursor cell
CL:0000463	CL:0000362 ! epidermal cell
CL:0000463	CL:0000710 ! neurecto-epithelial cell
CL:0000464	CL:0000055 ! non-terminally differentiated cell
CL:0000464	CL:0000710 ! neurecto-epithelial cell
CL:0000465	CL:0010021 ! cardiac myoblast
CL:0000467	CL:0000163 ! endocrine cell
CL:0000467	CL:0000167 ! peptide hormone secreting cell
CL:0000468	CL:0000047 ! neuronal stem cell
CL:0000468	CL:0000055 ! non-terminally differentiated cell
CL:0000469	CL:0000468 ! neuroglioblast
CL:0000470	CL:0000154 ! protein secreting cell
CL:0000473	CL:0000003 ! native cell
CL:0000474	CL:0000519 ! phagocyte (sensu Nematoda and Protostomia)
CL:0000474	CL:0002520 ! nephrocyte
CL:0000476	CL:0000639 ! basophil cell of pars distalis of adenohypophysis
CL:0000477	CL:0000075 ! columnar/cuboidal epithelial cell
CL:0000478	CL:0000167 ! peptide hormone secreting cell
CL:0000479	CL:0000167 ! peptide hormone secreting cell
CL:0000480	CL:0000167 ! peptide hormone secreting cell
CL:0000481	CL:0000167 ! peptide hormone secreting cell
